name,unit_no,sector,coal_source,coal_grade,pithead,base_rs_t,freight_rs_t,recon_ecr,real_ecr,vc_final,vc_source
Melamaruthur (Muthiara),1.0,Private,imported,G11,False,1698.3500000000001,,5.66863,,5.66863,modelled_anchor
Barauni,3.0,State,domestic,G13,False,1534.13,2190.0,2.8807404801262733,,2.8807404801262733,reconstructed_landed
Durgapur,2.0,Centre,domestic,G15,False,1264.0,2190.0,5.117510017452007,3.927,3.927,real_ISGS_ECR
Ghtp (Leh.Moh.),2.0,State,domestic,G11,False,1698.3500000000001,2190.0,3.4482094234427016,,3.4482094234427016,reconstructed_landed
Mundra TPP,2.0,Private,imported,G11,False,1698.3500000000001,,4.24658,,4.24658,modelled_anchor
Itpcl TPP,2.0,Private,imported,G12,False,1616.2400000000002,,4.69572,,4.69572,modelled_anchor
Raichur,1.0,State,domestic,G14,False,1452.02,2190.0,3.3115566486150017,,3.3115566486150017,reconstructed_landed
Udupi TPP,2.0,Private,imported,G8,False,2305.25,,4.58828,,4.58828,modelled_anchor
Mundra TPP,1.0,Private,imported,G11,False,1698.3500000000001,,4.24522,,4.24522,modelled_anchor
Udupi TPP,1.0,Private,imported,G8,False,2305.25,,4.5969500000000005,,4.5969500000000005,modelled_anchor
Binjkote,1.0,Private,domestic,G14,False,1452.02,2190.0,3.4389173816817755,,3.4389173816817755,reconstructed_landed
Salaya TPP,1.0,Private,imported,G7,False,2853.84,,4.54561,,4.54561,modelled_anchor
Niwari TPP,1.0,Private,domestic,G16,False,1233.06,2190.0,4.40738265,,4.40738265,reconstructed_landed
Mundra TPP,3.0,Private,imported,G11,False,1698.3500000000001,,4.51161,,4.51161,modelled_anchor
Torangallu Ext,2.0,Private,imported,G7,False,2853.84,,4.41267,,4.41267,modelled_anchor
Mundra TPP,4.0,Private,imported,G11,False,1698.3500000000001,,4.52249,,4.52249,modelled_anchor
Tuticorin JV Stage- IV,1.0,Private,domestic,G9,False,1918.5000000000002,2190.0,2.3849214087330592,,2.3849214087330592,reconstructed_landed
Uchpinda TPP,4.0,Private,domestic,G15,False,1264.0,2190.0,3.1771984888304865,,3.1771984888304865,reconstructed_landed
Bhavnagar TPP,2.0,State,lignite,G16,True,1233.06,,1.99825,,1.99825,modelled_anchor
Salaya TPP,2.0,Private,imported,G8,False,2305.25,,4.625,,4.625,modelled_anchor
Chhabra Tps,4.0,State,domestic,G13,False,1534.13,2190.0,3.0390408616823983,,3.0390408616823983,reconstructed_landed
JSW Ratnagiri TPP,1.0,Private,imported,G7,False,2853.84,,4.5774,,4.5774,modelled_anchor
Wanakbori,4.0,State,domestic,G12,False,1616.2400000000002,2190.0,3.1206287805006454,,3.1206287805006454,reconstructed_landed
Khamberkhera Ipp,2.0,Private,domestic,G13,False,1534.13,2190.0,3.5427694802631584,,3.5427694802631584,reconstructed_landed
Raichur,2.0,State,domestic,G14,False,1452.02,2190.0,3.388812750446087,,3.388812750446087,reconstructed_landed
Bhavnagar TPP,1.0,State,lignite,G16,True,1233.06,,1.9815999999999998,,1.9815999999999998,modelled_anchor
Sikka Extn,4.0,State,imported,G8,False,2305.25,,5.12259,,5.12259,modelled_anchor
Neyveli Tps Exp -Ii,2.0,Centre,lignite,G16,True,1233.06,,1.64725,2.562,2.562,real_ISGS_ECR
Kota,3.0,State,domestic,G13,False,1534.13,2190.0,3.03959212069857,,3.03959212069857,reconstructed_landed
Balco TPP,2.0,Private,domestic,G13,False,1534.13,2190.0,3.0632317283251713,,3.0632317283251713,reconstructed_landed
ITPCL TPP,1.0,Private,imported,G11,False,1698.3500000000001,,4.58063,,4.58063,modelled_anchor
