name,dg_ecr,n_stage,vintage
Singrauli Stps,1.39,1,2021-22
Rihand,1.4033333333333333,3,2021-22
Unchahar,3.0225,4,2021-22
Dadri (NcTPP),3.3,2,2021-22
Korba Stps,1.375,2,2021-22
Sipat Stps,1.415,2,2021-22
Vindh_Chal Stps,1.596,5,2021-22
Mouda Stps,2.8049999999999997,2,2021-22
Talcher Stps,1.9849999999999999,2,2021-22
Kahalgaon,2.17,2,2021-22
Farakka Stps,2.68,2,2021-22
R_Gundem Stps,2.365,2,2021-22
Simhadri,2.9450000000000003,2,2021-22
Bongaigaon TPP,3.37,1,2021-22
Maithon Rb TPP,2.54,1,2021-22
Durgapur,3.927,1,2021-23
Mejia,3.142333333333333,3,2021-23
Mejia Tps Ext,2.9,1,2021-23
Chandrapura,2.675,1,2021-23
Durgapur Steel Tps,2.946,1,2021-23
Koderma,2.657,1,2021-23
Raghunathpur TPP Ph-I,3.067,1,2021-23
Bokaro A ‘’Exp’’,2.273,1,2021-23
Neyveli St Ii,2.6420000000000003,2,2021-23
Neyveli New TPP,2.193,1,2021-23
Neyveli Tps Exp -Ii,2.562,1,2021-23
Neyveli Fst Ext,2.454,1,2021-23
Barsingar Ligniteite,1.077,1,2021-23
Tuticorin JV,2.842,1,2021-23
