resource_id,dataset_title,vintage,category,station_raw,units_source,ecr_raw,ecr_rs_per_kwh,nfc_raw,total_raw
9a0d4b8a-3581-4676-a834-da0b837385b4,Generating Station-wise Tariff Statement (Fixed Charge and Energy Charge) of Thermal Power Stations during 2021-23,2021-23,NLC Stations,TS-II St.1,Rs/kWh,2.661,2.661,0.71,3.371
9a0d4b8a-3581-4676-a834-da0b837385b4,Generating Station-wise Tariff Statement (Fixed Charge and Energy Charge) of Thermal Power Stations during 2021-23,2021-23,NLC Stations,TS-II St.2,Rs/kWh,2.623,2.623,0.736,3.359
9a0d4b8a-3581-4676-a834-da0b837385b4,Generating Station-wise Tariff Statement (Fixed Charge and Energy Charge) of Thermal Power Stations during 2021-23,2021-23,NLC Stations,TPS-I Exp.,Rs/kWh,2.454,2.454,0.965,3.419
9a0d4b8a-3581-4676-a834-da0b837385b4,Generating Station-wise Tariff Statement (Fixed Charge and Energy Charge) of Thermal Power Stations during 2021-23,2021-23,NLC Stations,BTPS,Rs/kWh,1.077,1.077,2.308,3.385
9a0d4b8a-3581-4676-a834-da0b837385b4,Generating Station-wise Tariff Statement (Fixed Charge and Energy Charge) of Thermal Power Stations during 2021-23,2021-23,NLC Stations,TPS-2 Exp.,Rs/kWh,2.562,2.562,2.309,4.871
9a0d4b8a-3581-4676-a834-da0b837385b4,Generating Station-wise Tariff Statement (Fixed Charge and Energy Charge) of Thermal Power Stations during 2021-23,2021-23,NLC Stations,NTPL,Rs/kWh,2.842,2.842,1.553,4.395
9a0d4b8a-3581-4676-a834-da0b837385b4,Generating Station-wise Tariff Statement (Fixed Charge and Energy Charge) of Thermal Power Stations during 2021-23,2021-23,NLC Stations,NNTPP,Rs/kWh,2.193,2.193,1.804,3.997
9a0d4b8a-3581-4676-a834-da0b837385b4,Generating Station-wise Tariff Statement (Fixed Charge and Energy Charge) of Thermal Power Stations during 2021-23,2021-23,DVC (Paise/KWh),DTPS,paise/kWh,392.7,3.927,259.1,651.8
9a0d4b8a-3581-4676-a834-da0b837385b4,Generating Station-wise Tariff Statement (Fixed Charge and Energy Charge) of Thermal Power Stations during 2021-23,2021-23,DVC (Paise/KWh),MTPS (1-3),paise/kWh,319.8,3.198,118.9,438.7
9a0d4b8a-3581-4676-a834-da0b837385b4,Generating Station-wise Tariff Statement (Fixed Charge and Energy Charge) of Thermal Power Stations during 2021-23,2021-23,DVC (Paise/KWh),MTPS (4),paise/kWh,318.5,3.185,90.4,408.9
