# Plant-level Energy Charge Rate (ECR) override table -- FY2022-23 ONLY.
# REAL, FY2022-23, per-station energy/variable charge (Rs/kWh). Every row traceable
# to a published source. Built by the docs/SCRAPE_ECR_PROMPT.md task; method + raw
# artefacts logged in docs/ecr_scrape_notes.md and saved under data/raw/sources/.
#
# Energy/variable charge ONLY (not fixed/capacity charge). Vintage = FY2022-23.
# columns: match_name,ecr_rs_per_kwh,period,source
match_name,ecr_rs_per_kwh,period,source
# --- Maharashtra: MSPGCL (MahaGenco) own stations -----------------------------
# Metered per-station ENERGY RATE (Rs/Unit) from MSPGCL's monthly Energy Bill to
# MSEDCL; generation-weighted across unit-groups, then mean of the two FY2022-23
# endpoint months Apr-2022 & Mar-2023. Raw: data/raw/sources/mahagenco_fuel_apr22.pdf,
# mahagenco_fuel_mar23.pdf (mahagenco.in monthly fuel-data disclosures).
Bhusawal,3.542,FY2022-23,"MSPGCL Energy Bill to MSEDCL, station Energy Rate Rs/Unit; gen-wtd mean of Apr-2022 & Mar-2023 (Fuel-data-for-Apr-22.pdf; Fuel-Data-for-Mar-2023.pdf, mahagenco.in)"
Chandrapur_Coal,3.125,FY2022-23,"MSPGCL Energy Bill to MSEDCL, station Energy Rate Rs/Unit; gen-wtd mean of Apr-2022 (Unit3-7 2.658, Unit8-9 2.573) & Mar-2023 (3.854/3.335) (mahagenco.in monthly fuel-data)"
K_Kheda Ii,3.231,FY2022-23,"MSPGCL Energy Bill to MSEDCL, Khaperkheda station Energy Rate Rs/Unit; gen-wtd mean of Apr-2022 & Mar-2023 (mahagenco.in monthly fuel-data)"
Koradi,3.175,FY2022-23,"MSPGCL Energy Bill to MSEDCL, Koradi subcritical Unit (210 MW) Energy Rate Rs/Unit; mean of Apr-2022 (3.311) & Mar-2023 (3.040) (mahagenco.in monthly fuel-data)"
Nashik,3.868,FY2022-23,"MSPGCL Energy Bill to MSEDCL, Nashik Unit 3-5 Energy Rate Rs/Unit; mean of Apr-2022 (3.569) & Mar-2023 (4.166) (mahagenco.in monthly fuel-data)"
Paras,3.287,FY2022-23,"MSPGCL Energy Bill to MSEDCL, Paras Unit 3-4 Energy Rate Rs/Unit; mean of Apr-2022 (3.146) & Mar-2023 (3.427) (mahagenco.in monthly fuel-data)"
Parli,4.533,FY2022-23,"MSPGCL Energy Bill to MSEDCL, Parli Unit 6-8 Energy Rate Rs/Unit; gen-wtd mean of Apr-2022 (4.19) & Mar-2023 (4.88); HIGH (old, coal-distant) (mahagenco.in monthly fuel-data)"
# --- Maharashtra: private IPPs (from the MahaSLDC DISCOM-wise MOD stack) --------
Amaravati TPP,2.452,FY2022-23,"MahaSLDC DISCOM-wise MOD stack, RattanIndia Power Amravati approved Variable Charge 2.4523 Rs/kWh (constant Apr-2022 & Mar-2023, ex change-in-law) (mahagenco.in fuel-data)"
JSW Ratnagiri TPP,3.939,FY2022-23,"MahaSLDC DISCOM-wise MOD stack, JSW U1 Jaigad Variable Charge; mean of Apr-2022 (3.169) & Mar-2023 (4.710) (mahagenco.in fuel-data)"
# --- Central (NTPC) stations, from the MahaSLDC DISCOM-wise MOD stack ------------
# CERC Approved Variable Charge (Rs/KWh), change-in-law = 0 for these (pure energy
# charge). Capacity-weighted across the station's stages by ISGS share MW, then mean
# of the two FY2022-23 endpoint MOD stacks: MAY-2022 (in Fuel-data-for-Apr-22.pdf)
# & APR-2023 (in Fuel-Data-for-Mar-2023.pdf). Pithead NTPC stations run ~Rs1.6/kWh.
Vindh_Chal Stps,1.633,FY2022-23,"MahaSLDC DISCOM-wise MOD stack, NTPC Vindhyachal (VSTP-I..V) CERC Approved Variable Charge Rs/KWh, cap-wtd across stages; mean of May-2022 (1.600) & Apr-2023 (1.667) (mahasldc.in via mahagenco.in fuel-data)"
Korba Stps,1.612,FY2022-23,"MahaSLDC DISCOM-wise MOD stack, NTPC Korba (KSTPS I&II, KSTPS-III) CERC Approved Variable Charge Rs/KWh, cap-wtd; mean of May-2022 (1.505) & Apr-2023 (1.719) (mahasldc.in via mahagenco.in fuel-data)"
