# Rich per-station tariff/technical research table -- superset of plant_ecr.csv.
# Harvested from FY2022-23 SERC/CERC tariff orders, true-up orders, metered fuel
# bills and SLDC merit-order stacks. Schema + rules: docs/plant_tariff_schema.md.
#
# RULES (non-negotiable): every numeric value REAL and traceable to a published
# document; NEVER fabricate or interpolate -- leave blank if a source omits it.
# ecr_rs_per_kwh / energy-charge vintage MUST be FY2022-23. Other technical fields
# may carry a nearby-vintage norm -- note it in basis/flag. One logical row per
# station x source. Sparse by design (blank = not stated in that source).
# Read with comment='#'; treat blanks as NaN.
match_name,unit_group,genco,state,period,basis,ecr_rs_per_kwh,fixed_charge_rs_per_kwh,capacity_charge_rs_cr,station_heat_rate_kcal_per_kwh,aux_consumption_pct,specific_coal_consumption_kg_per_kwh,secondary_oil_ml_per_kwh,transit_loss_pct,gcv_coal_kcal_per_kg,landed_coal_cost_rs_per_tonne,coal_grade,gcv_oil_kcal_per_litre,landed_oil_cost_rs_per_kl,generation_mu,plf_pct,capacity_mw,source,source_file,flag
# === Maharashtra MSPGCL -- per-unit-group, MSPGCL monthly Energy Bill to MSEDCL (FAC Part-I), Mar-2023 normative station parameters ===
Bhusawal,Unit 3 (210 MW),MSPGCL,Maharashtra,FY2022-23,metered_bill,4.4457,,,2787,10.96,0.79,1.40,0.800,3506.96,4906.46,,,49057.27,89.85,66,210,"MSPGCL Energy Bill to MSEDCL (FAC Part-I) Mar-2023: Heat Rate/Aux/SFC/GCV-as-fired/wtd-avg-landed/NetGen/PLF cols; Energy Charge (=cost/net-gen) col",mahagenco_fuel_mar23.pdf,"Mar-2023 month-end normative; FY2022-23 headline ECR (gen-wtd Apr-2022+Mar-2023) in plant_ecr.csv"
Bhusawal,Units 4-5 (1000 MW),MSPGCL,Maharashtra,FY2022-23,metered_bill,3.4341,,,2375,6.00,0.67,0.50,0.800,3550.16,4794.77,,,46916.42,571.93,83,1000,"MSPGCL Energy Bill to MSEDCL (FAC Part-I) Mar-2023: Heat Rate/Aux/SFC/GCV-as-fired/wtd-avg-landed/NetGen/PLF cols; Energy Charge col",mahagenco_fuel_mar23.pdf,"Mar-2023 month-end normative; FY headline in plant_ecr.csv"
K_Kheda Ii,Units 1-4 (840 MW),MSPGCL,Maharashtra,FY2022-23,metered_bill,3.91354,,,2630,9.70,0.74,1.20,0.800,3555.76,4701.60,,,53059.01,368.32,66,840,"MSPGCL Energy Bill to MSEDCL (FAC Part-I) Mar-2023: Khaperkheda Units 1-4 normative params; Energy Charge col",mahagenco_fuel_mar23.pdf,"Mar-2023 month-end normative; FY headline in plant_ecr.csv"
K_Kheda Ii,Unit 5 (500 MW),MSPGCL,Maharashtra,FY2022-23,metered_bill,3.3903,,,2375,6.00,0.68,0.50,0.800,3472.78,4630.61,,,53648.74,288.52,82.21,500,"MSPGCL Energy Bill to MSEDCL (FAC Part-I) Mar-2023: Khaperkheda Unit 5 normative params; Energy Charge col",mahagenco_fuel_mar23.pdf,"Mar-2023 month-end normative; FY headline in plant_ecr.csv"
Nashik,Units 3-5 (630 MW),MSPGCL,Maharashtra,FY2022-23,metered_bill,4.166,,,2754,10.75,0.81,1.00,0.800,3391.49,4520.69,,,63329.52,192.20,47.82,630,"MSPGCL Energy Bill to MSEDCL (FAC Part-I) Mar-2023: Nashik Units 3-5 normative params; Energy Charge col",mahagenco_fuel_mar23.pdf,"Mar-2023 month-end normative; FY headline in plant_ecr.csv"
Chandrapur_Coal,Units 3-7 (1920 MW),MSPGCL,Maharashtra,FY2022-23,metered_bill,3.854,,,2688,7.80,0.78,1.00,0.800,3447.93,4501.44,,,67313.84,798.75,58.45,1920,"MSPGCL Energy Bill to MSEDCL (FAC Part-I) Mar-2023: Chandrapur Units 3-7 normative params; Energy Charge col",mahagenco_fuel_mar23.pdf,"Mar-2023 month-end normative; FY headline in plant_ecr.csv"
Chandrapur_Coal,Units 8-9 (1000 MW),MSPGCL,Maharashtra,FY2022-23,metered_bill,3.335,,,2375,6.00,0.66,0.50,0.800,3572.05,4681.62,,,59649.37,598.52,85.8,1000,"MSPGCL Energy Bill to MSEDCL (FAC Part-I) Mar-2023: Chandrapur Units 8-9 normative params; Energy Charge col",mahagenco_fuel_mar23.pdf,"Mar-2023 month-end normative; FY headline in plant_ecr.csv"
Paras,Units 3-4 (500 MW),MSPGCL,Maharashtra,FY2022-23,metered_bill,3.43,,,2430,9.30,0.69,0.50,0.800,3508.56,4451.96,,,60229.52,281.46,84.73,500,"MSPGCL Energy Bill to MSEDCL (FAC Part-I) Mar-2023: Paras Units 3-4 normative params; Energy Charge col",mahagenco_fuel_mar23.pdf,"Mar-2023 month-end normative; FY headline in plant_ecr.csv"
Parli,Units 6-7 (500 MW),MSPGCL,Maharashtra,FY2022-23,metered_bill,4.88,,,2430,9.30,0.74,0.50,0.800,3277.00,5949.25,,,54433.65,253.65,74,500,"MSPGCL Energy Bill to MSEDCL (FAC Part-I) Mar-2023: Parli Units 6-7 normative params; Energy Charge col",mahagenco_fuel_mar23.pdf,"Mar-2023 month-end normative; FY headline in plant_ecr.csv"
Parli,Unit 8 (250 MW),MSPGCL,Maharashtra,FY2022-23,metered_bill,4.85,,,2430,8.50,0.74,0.50,0.800,3286.00,5977.80,,,51702.47,100.49,55.98,250,"MSPGCL Energy Bill to MSEDCL (FAC Part-I) Mar-2023: Parli Unit 8 normative params; Energy Charge col",mahagenco_fuel_mar23.pdf,"Mar-2023 month-end normative; FY headline in plant_ecr.csv"
Koradi,Units 6-7 (420 MW),MSPGCL,Maharashtra,FY2022-23,metered_bill,3.040,,,2350,9.00,0.67,2.81,0.800,3478.04,3893.69,,,114974.69,125.14,87.62,420,"MSPGCL Energy Bill to MSEDCL (FAC Part-I) Mar-2023: bill col 'Koradi 6'=420 MW (Units 6&7); Energy Charge col",mahagenco_fuel_mar23.pdf,"Mar-2023 month-end normative; plant_ecr treats Koradi as 210 MW subcritical unit; high SFO/wash-coal month; FY headline in plant_ecr.csv"
# === Maharashtra private IPPs + Central NTPC -- MahaSLDC DISCOM-wise MOD stack (in MSPGCL fuel-data) ===
Amaravati TPP,Amravati TPP (RattanIndia),RattanIndia Power,Maharashtra,FY2022-23,mod_stack,2.452,,,,,,,,,,,,,,,,"MahaSLDC DISCOM-wise MOD stack (in MSPGCL fuel-data), RattanIndia Amravati Approved Variable Charge 2.4523 Rs/kWh (constant Apr-2022 & Mar-2023, ex change-in-law)",mahagenco_fuel_mar23.pdf,"mod_stack; FY headline in plant_ecr.csv; MOD MW=MH ISGS share not station capacity"
JSW Ratnagiri TPP,JSW U1 Jaigad,JSW Energy,Maharashtra,FY2022-23,mod_stack,4.710,,,,,,,,,,,,,,,,"MahaSLDC DISCOM-wise MOD stack (in MSPGCL fuel-data) Mar-2023, JSW U1 Jaigad Variable Charge 4.7100 Rs/kWh",mahagenco_fuel_mar23.pdf,"Mar-2023 MOD value; FY headline 3.939 (mean Apr-2022 3.169 + Mar-2023 4.710) in plant_ecr.csv"
Vindh_Chal Stps,VSTP I-V (NTPC),NTPC,Madhya Pradesh,FY2022-23,mod_stack,1.633,,,,,,,,,,,,,,,,"MahaSLDC DISCOM-wise MOD stack (in MSPGCL fuel-data), NTPC Vindhyachal CERC Approved Variable Charge cap-wtd across stages; FY2022-23 mean of May-2022 & Apr-2023",mahagenco_fuel_mar23.pdf,"mod_stack; central ISGS; FY headline in plant_ecr.csv"
Korba Stps,KSTPS I-III (NTPC),NTPC,Chhattisgarh,FY2022-23,mod_stack,1.612,,,,,,,,,,,,,,,,"MahaSLDC DISCOM-wise MOD stack (in MSPGCL fuel-data), NTPC Korba CERC Approved Variable Charge cap-wtd; FY2022-23 mean of May-2022 & Apr-2023",mahagenco_fuel_mar23.pdf,"mod_stack; central ISGS; FY headline in plant_ecr.csv"
Sipat Stps,SSTPS-II subcritical (NTPC),NTPC,Chhattisgarh,FY2022-23,mod_stack,1.568,,,,,,,,,,,,,,,,"MahaSLDC DISCOM-wise MOD stack (in MSPGCL fuel-data), NTPC Sipat subcritical stage CERC Approved Variable Charge; FY2022-23 mean of May-2022 & Apr-2023",mahagenco_fuel_mar23.pdf,"mod_stack; central ISGS; FY headline in plant_ecr.csv"
Mouda Stps,MSTPS-I subcritical (NTPC),NTPC,Maharashtra,FY2022-23,mod_stack,4.151,,,,,,,,,,,,,,,,"MahaSLDC DISCOM-wise MOD stack (in MSPGCL fuel-data), NTPC Mouda subcritical stage CERC Approved Variable Charge; FY2022-23 mean of May-2022 & Apr-2023",mahagenco_fuel_mar23.pdf,"mod_stack; central ISGS; FY headline in plant_ecr.csv"
# === Rajasthan RVUN -- RERC review order RERC/2031/22, Table 3 Approved tariff FY2022-23 (Revised Approved) ===
Suratgarh,STPS Units 1-6,RVUN,Rajasthan,FY2022-23,approved_order,4.220,0.77,754.52,,,,,,,,,,,9837.39,,,"RERC review order RERC/2031/22 Table 3 Approved tariff FY2022-23: AFC 754.52 Cr, Net Gen 9837.39 MU, per-unit fixed cost 0.77; energy rate from orig Petition 1980/22 dtd 23.06.2022",rerc_rvun_review_2031-22_fy2022-23.pdf,approved_order FY2022-23
Kota,KTPS Units 1-7,RVUN,Rajasthan,FY2022-23,approved_order,3.390,0.67,544.38,,,,,,,,,,,8145.77,,,"RERC review order RERC/2031/22 Table 3 Approved tariff FY2022-23: AFC 544.38 Cr, Net Gen 8145.77 MU, per-unit fixed cost 0.67; energy rate from orig Petition 1980/22 dtd 23.06.2022",rerc_rvun_review_2031-22_fy2022-23.pdf,approved_order FY2022-23
Chhabra Tps,CTPP Units 1-4,RVUN,Rajasthan,FY2022-23,approved_order,3.050,1.43,939.32,,,,,,,,,,,6558.26,,,"RERC review order RERC/2031/22 Table 3 Approved tariff FY2022-23: AFC 939.32 Cr, Net Gen 6558.26 MU, per-unit fixed cost 1.43; energy rate from orig Petition 1980/22 dtd 23.06.2022",rerc_rvun_review_2031-22_fy2022-23.pdf,approved_order FY2022-23
Kalisindh,KaTPP Units 1-2,RVUN,Rajasthan,FY2022-23,approved_order,2.950,1.682,1390.59,,,,,,,,,,,8266.90,,,"RERC review order RERC/2031/22 Table 3 Approved tariff FY2022-23: AFC 1390.59 Cr, Net Gen 8266.90 MU, per-unit fixed cost 1.682; energy rate from orig Petition 1980/22 dtd 23.06.2022",rerc_rvun_review_2031-22_fy2022-23.pdf,approved_order FY2022-23
# === Haryana HPGCL -- FY2022-23 tariff petition Table 38/47 (FILED petition, NOT HERC-approved order) ===
Panipat,PTPS 6-7-8,HPGCL,Haryana,FY2022-23,filed_petition,3.723,,,,,,,,,,,,,4784.05,,,"HPGCL FY2022-23 tariff petition Table 38/47 proposed ECR (HERC MYT Reg 31); gen-wtd PTPS-6 (1407.29 MU @ 3.812) + PTPS-7 (1688.38 @ 3.686) + PTPS-8 (1688.38 @ 3.686)",hpgcl_tariff_petition_fy2022-23.pdf,filed_petition_not_order
Yamunanagar TPP,DCRTPP Units 1-2,HPGCL,Haryana,FY2022-23,filed_petition,3.574,,,,,,,,,,,,,,,,"HPGCL FY2022-23 tariff petition Table 38/47 proposed ECR (HERC MYT Reg 31); DCRTPP Units 1-2 3.574 Rs/kWh each",hpgcl_tariff_petition_fy2022-23.pdf,filed_petition_not_order
Rajiv Gandhi Tps Hisar,RGTPP Units 1-2,HPGCL,Haryana,FY2022-23,filed_petition,3.639,,,,,,,,,,,,,,,,"HPGCL FY2022-23 tariff petition Table 38/47 proposed ECR (HERC MYT Reg 31); RGTPP Units 1-2 3.639 Rs/kWh each",hpgcl_tariff_petition_fy2022-23.pdf,filed_petition_not_order
# === Gujarat GSECL -- GERC Order Case 2025/2021 dtd 30.03.2022, Table 6.1 approved ECR FY2022-23 (coal+lignite; gen-MU = approved projection) ===
Wanakbori,Wanakbori 1-6 TPS,GSECL,Gujarat,FY2022-23,approved_order,4.232,,612.25,2575,9.00,,1.00,0.80,3502,5173,,10266,31748,6070.68,55.00,,"GERC Order dtd 30.03.2022 (Case No.2025 of 2021), Truing Up FY2020-21 & Determination of ARR/Tariff FY2022-23, Table 6.1 'Energy Charges Approved for FY 2022-23' Sr.4 Wanakbori 1-6 = 4.232 Rs/kWh (p.141). Bonus: SHR Table 5.9/5.14 (2575); aux Table 5.7 (9%); transit loss Table 5.13 (0.80%); approved blended coal cost Table 5.20 (Indig 4714 + Washed 5479 -> wt-avg 5173 Rs/MT); approved GCV coal Table 5.17 (3502); SFO Table 5.11 (1.0 ml/kWh); GCV oil 10266, oil cost 31748 Rs/kl Table 5.17/5.20; gross gen Table 5.15 (6070.68 MU); PLF Table 5.5 (55%); fixed chg Table 6.2 Net 612.25 Cr.",gsecl_gerc_tariff_order_fy2022-23.pdf,coal subcritical; gen-MU is approved-projection (not metered actual)
Ukai_Coal,Ukai (3-5),GSECL,Gujarat,FY2022-23,approved_order,3.915,,383.44,2625,9.00,0.716,1.00,0.80,3650,4882,,10418,37223,3206.16,60.00,,"GERC Order dtd 30.03.2022 (Case No.2025 of 2021), Table 6.1 'Energy Charges Approved for FY 2022-23' Sr.1 Ukai (3-5) = 3.915 Rs/kWh (p.141); cross-checked Annexure B-1 'Fuel cost/Unit (Net) = 3.915 Rs/kWh' (p.170). Bonus from same order: SHR 2625 (Table 5.9/5.14, Annexure B-1); aux 9% (Table 5.7); sp coal cons = Annexure B-1 Actual Coal 2296478 MT / Gross 3206.16 MU = 0.716 kg/kWh; transit 0.80% (Table 5.13); approved blended coal cost wt-avg 4882 Rs/MT (Indig 4519 + Washed 5124, Table 5.20); approved GCV coal 3650 (Table 5.17); SFO 1.0 ml/kWh (Table 5.11); GCV oil 10418, oil cost 37223 Rs/kl; gross gen 3206.16 MU (Table 5.15); PLF 60% (Table 5.5); fixed chg Net 383.44 Cr (Table 6.2).",gsecl_gerc_tariff_order_fy2022-23.pdf,coal subcritical; gen-MU is approved-projection (not metered actual)
Gandhi Nagar,Gandhinagar (3-4),GSECL,Gujarat,FY2022-23,approved_order,4.293,,289.80,2625,9.00,,1.00,0.80,3605,5299,,10420,32333,2023.56,55.00,,"GERC Order dtd 30.03.2022 (Case No.2025 of 2021), Table 6.1 'Energy Charges Approved for FY 2022-23' Sr.2 Gandhinagar (3-4) = 4.293 Rs/kWh (p.141); cross-check Annexure B-2 (p.170). Excludes Gandhinagar 5 (PPA, separate row 3.782). Bonus: SHR 2625 (Table 5.9/5.14); aux 9% (Table 5.7); transit 0.80% (Table 5.13); approved blended coal cost wt-avg 5299 Rs/MT (Indig 4941 + Washed 5537, Table 5.20); approved GCV coal 3605 (Table 5.17); SFO 1.0 ml/kWh (Table 5.11); GCV oil 10420, oil cost 32333 Rs/kl; gross gen 2023.56 MU (Table 5.15); PLF 55% (Table 5.5); fixed chg Net 289.80 Cr (Table 6.2).",gsecl_gerc_tariff_order_fy2022-23.pdf,coal subcritical; Gandhinagar units 3-4 only (Unit 5 is separate PPA row); gen-MU is approved-projection
Sikka Extn,Sikka Extension (3-4),GSECL,Gujarat,FY2022-23,approved_order,3.956,,492.64,2398,9.00,,1.00,0.00,4944,7376,,10304,38400,3066.00,70.00,,"GERC Order dtd 30.03.2022 (Case No.2025 of 2021), Table 6.1 'Energy Charges Approved for FY 2022-23' Sr.6 Sikka Extension (3-4) = 3.956 Rs/kWh (p.141). PPA-based station but a real GERC-approved FY2022-23 ECR. Bonus: SHR 2398 (Table 5.9/5.14); aux 9% (Table 5.7); transit 0.00% (Table 5.13, imported coal exempt); IMPORTED coal 100% (Table 5.18); approved imported coal cost 7376 Rs/MT (Table 5.20); approved GCV coal 4944 (Table 5.17); SFO 1.0 ml/kWh (Table 5.11); GCV oil 10304, oil cost 38400 Rs/kl; gross gen 3066.00 MU (Table 5.15); PLF 70% (Table 5.5); fixed chg Net 492.64 Cr (Table 6.2).",gsecl_gerc_tariff_order_fy2022-23.pdf,coal subcritical; runs 100% imported coal (Sikka Replacement/Extension); PPA-based; gen-MU is approved-projection
